"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Oleamide","Oleamide","HMDB0002117","5283387","116314","C19670",NA,"CCCCCCCC\C=C/CCCCCCCC(N)=O","1"
"NADH","NADH","HMDB0001487","439153","16908","C00004","3687","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"GAR","Glycineamideribotide","HMDB0002022","160913","18349","C03838",NA,"NCC(=O)N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","N[C@@H](CS)C(O)=O","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"(2R)-2,3-Dihydroxypropanoic acid","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"Acrylic acid","Acrylic acid","HMDB0031647","6581","18308","C00511",NA,"OC(=O)C=C","1"
"dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","27956","C05422","342","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"timonacic","Thiazolidine-4-carboxylic acid","HMDB0258979",NA,"64564",NA,NA,"OC(=O)C1CSCN1","1"
"Unknown 016","NA","NA","NA","NA","NA","NA","NA","0"
"3'-Dephosphocoenzyme A","Dephospho-CoA","HMDB0001373","444485","15468","C00882","3689","CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS","1"
"Pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"L-glutamic acid","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"9-Oxo-ODE","9-OxoODE","HMDB0004669","9839084","72842","C14766",NA,"CCCCC\C=C/C=C/C(=O)CCCCCCCC(O)=O","1"
"Cytisine","Cytisine",NA,"12946","4055","C10763",NA,NA,"1"
"Nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"6-Phosphogluconolactone","6-Phosphonoglucono-D-lactone","HMDB0001127","439452","16938","C01236","6022","O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)OC(=O)[C@@H]1O","1"
"Unknown 047","NA","NA","NA","NA","NA","NA","NA","0"
"Cortisone","Cortisone","HMDB0002802","222786","16962","C00762","271","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"D-gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"L-mimosine","Mimosine","HMDB0015188","440473","29063","C04771",NA,"N[C@@H](CN1C=CC(=O)C(O)=C1)C(O)=O","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"D-mannose","D-Mannose","HMDB0000169","185698","28729","C00159",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"Succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"Unknown 045","NA","NA","NA","NA","NA","NA","NA","0"
"AICAR","AICAR","HMDB0001517","65110","18406","C04677","6294","NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"Theophylline","Theophylline","HMDB0001889","2153","28177","C07130","1458","CN1C2=C(NC=N2)C(=O)N(C)C1=O","1"
"2-Mercaptobenzothiazole","2(3H)-Benzothiazolethione","HMDB0030524","21831736","34292","C14437",NA,"S=C1NC2=C(S1)C=CC=C2","1"
"Cytidine","Cytidine","HMDB0000089","6175","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"Unknown 018","NA","NA","NA","NA","NA","NA","NA","0"
"Cystathionine","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"Trigonelline","Trigonelline","HMDB0000875","5570","18123","C01004","273","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"Gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"GDP","Guanosine diphosphate","HMDB0001201","8977","17552","C00035","6077","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"linoleic acid","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC\C=C/C\C=C/CCCCCCCC(O)=O","1"
"Unknown 029","NA","NA","NA","NA","NA","NA","NA","0"
"Neu5Ac","N-Acetylneuraminic acid","HMDB0000230","445063","45744","C19910","3321","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"Androsterone glucuronide","Androsterone glucuronide","HMDB0002829","114833","28832","C11135","2796","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"Serotonin","Serotonin","HMDB0000259","5202","28790","C00780","74","NCCC1=CNC2=C1C=C(O)C=C2","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"Unknown 031","NA","NA","NA","NA","NA","NA","NA","0"
"L-pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"3-phospho-glycerate","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"UTP","Uridine triphosphate","HMDB0000285","6133","15713","C00075","5277","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"Salicin","Salicin","HMDB0003546","439503","17814","C01451","6948","OC[C@H]1O[C@@H](OC2=C(CO)C=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Anserine","Anserine","HMDB0000194","112072","18323","C01262","5209","CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O","1"
"Betaine","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"myo-inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"Unknown 034","NA","NA","NA","NA","NA","NA","NA","0"
"Ribose-5-Phosphate","ribose-5-phosphate","HMDB0257215",NA,NA,NA,NA,"OC(COP(O)(O)=O)C(O)C(O)C=O","1"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"Cytidine 5'-monophosphate (hydrate)","NA","NA","NA","NA","NA","NA","NA","0"
"Nicotinuric acid","Nicotinuric acid","HMDB0003269","68499","7563","C05380","1499","OC(=O)CNC(=O)C1=CN=CC=C1","1"
"Benzoic acid","Benzoic acid","HMDB0001870","243","30746","C00180","1297","OC(=O)C1=CC=CC=C1","1"
"Caprolactam","Epsilon-caprolactam","HMDB0062769","7768","28579","C06593",NA,"O=C1CCCCCN1","1"
"Ecgonine","Ecgonine","HMDB0006548","443003","708641","C10858",NA,"CN1C2CCC1[C@H]([C@@H](O)C2)C(O)=O","1"
"5'-S-Methyl-5'-thioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","17509","C00170","3425","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"phosphoric acid (spectral match)","NA","NA","NA","NA","NA","NA","NA","0"
"putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","NCCCCN","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"campesterol","Campesterol","HMDB0002869","173183","28623","C01789","167","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C","1"
"heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465","32365",NA,"6578","CCCCCCCCCCCCCCCCC(O)=O","1"
"CMP","Cytidine monophosphate","HMDB0000095","6131","17361","C00055","5143","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"16-Hydroxyhexadecanoic acid","16-Hydroxyhexadecanoic acid","HMDB0006294","10466","55328","C18218",NA,"OCCCCCCCCCCCCCCCC(O)=O","1"
"Glutamic acid","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Guanine","Guanine","HMDB0000132","764","16235","C00242","315","NC1=NC(=O)C2=C(N1)N=CN2","1"
"Uridine monophosphate (UMP)","NA","NA","NA","NA","NA","NA","NA","0"
"Imidazoleacetic acid","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","OC(=O)CC1=CN=CN1","1"
"Methionine sulfoxide","Methionine sulfoxide","HMDB0002005","158980","17016","C02989","6428","CS(=O)CC[C@H](N)C(O)=O","1"
"L-2-aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","37023","C00956","5496","N[C@@H](CCCC(O)=O)C(O)=O","1"
"Proline","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"Taurochenodeoxycholic acid","Tetrahydrocortisol","HMDB0000949","387316","16525","C05472","5897","C[C@]12C[C@H](O)C3C(CCC4C[C@H](O)CC[C@]34C)C1CC[C@]2(O)C(=O)CO","1"
"D-ribulose-5-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"Isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"O-Phosphorylethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"scyllo-inositol","scyllo-Inositol","HMDB0006088","892","10642","C06153",NA,"O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"1-Nitrosopiperidine (NPIP)","NA","NA","NA","NA","NA","NA","NA","0"
"Apocynin","Acetovanillone","HMDB0247918","2214","2781","C11380",NA,"COC1=CC(=CC=C1O)C(C)=O","1"
"Unknown 002","NA","NA","NA","NA","NA","NA","NA","0"
"Kynurenine","Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"N-Acetyl-1-aspartylglutamic acid","N-Acetyl-1-aspartylglutamic acid","HMDB0255414","5255","95120","C12270",NA,"CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O","1"
"Inosine-5'-monophosphate (IMP)","NA","NA","NA","NA","NA","NA","NA","0"
"Unknown 011","NA","NA","NA","NA","NA","NA","NA","0"
"pantothenic acid","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"3-hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"N-Acetyl-DL-glutamic acid","NA","NA","NA","NA","NA","NA","NA","0"
"ÃŽÂ¥-L-Glutamyl-L-glutamic acid","NA","NA","NA","NA","NA","NA","NA","0"
"L-alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"Thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"5-Phosphoribosylamine (5-PRA)","NA","NA","NA","NA","NA","NA","NA","0"
"D-malic acid","D-Malic acid","HMDB0031518","92824","30796","C00497",NA,"O[C@H](CC(O)=O)C(O)=O","1"
"Azelaic acid","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","OC(=O)CCCCCCCC(O)=O","1"
"Arachidonic acid","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"hypotaurine","Hypotaurine","HMDB0000965","107812","16668","C00519","281","NCCS(O)=O","1"
"1,5-Anhydro-D-glucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"Quinoline","Quinoline","HMDB0033731","7047","17362","C06413",NA,"C1=CC=C2N=CC=CC2=C1","1"
"docosahexaenoic acid","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"DL-2-Aminoadipic acid (spectral match)","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxy-3-methylglutaric acid","3-Hydroxymethylglutaric acid","HMDB0000355","1662","16831","C03761","5344","CC(O)(CC(O)=O)CC(O)=O","1"
"L-threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"Tetrahydrocortisone","Tetrahydrocortisone","HMDB0000903","12444617",NA,"C05470","1915","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C","1"
"Cystine","Cystine","HMDB0250712","595","17376","C01420",NA,"NC(CSSCC(N)C(O)=O)C(O)=O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"dCMP","dCMP","HMDB0001202","13945","15918","C00239","6078","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","1"
"Kynurenic acid","Kynurenic acid","HMDB0000715","3845","18344","C01717","5683","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"DL-isoleucine","NA","NA","NA","NA","NA","NA","NA","0"
"Unknown 033","NA","NA","NA","NA","NA","NA","NA","0"
"Unknown 009","NA","NA","NA","NA","NA","NA","NA","0"
"dGMP","2'-Deoxyguanosine 5'-monophosphate","HMDB0001044","65059","16192","C00362",NA,"NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1","1"
"Lactic acid","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Deoxyadenosine","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"galactitol","Galactitol","HMDB0000107","11850","16813","C01697","5148","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"N-formylglycine","N-Formylglycine","HMDB0255145","75606","21717",NA,NA,"OC(=O)CNC=O","1"
"Alpha-ketoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"Unknown 003","NA","NA","NA","NA","NA","NA","NA","0"
"dCDP","dCDP","HMDB0001245","150855","28846","C00705","6105","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1","1"
"Unknown 037","NA","NA","NA","NA","NA","NA","NA","0"
"Saccharic acid","Glucaric acid","HMDB0000663","33037","16002","C00818","5633","O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O","1"
"Unknown 006","NA","NA","NA","NA","NA","NA","NA","0"
"Cytidine 5'-diphosphocholine","Citicoline","HMDB0001413","13805","49086","C00307","6229","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"Unknown 022","NA","NA","NA","NA","NA","NA","NA","0"
"4-Pyridoxic acid","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"Unknown 013","NA","NA","NA","NA","NA","NA","NA","0"
"uridine 5'-monophosphate","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"Unknown 051","NA","NA","NA","NA","NA","NA","NA","0"
